method,function_value,error,arguments,time_duration
evolution strategies algorithm search,2.7251686679475234e-06,2.7251686679475234e-06,"[-0.0003121811853329647, -0.0002002759895108827, -0.0016086022204066068]",0.03733325004577637
evolution strategies algorithm search,1.7960848563711823e-06,1.7960848563711823e-06,"[0.0009743934376925593, 0.0003189037968299403, -0.0008631006044027004]",0.036757469177246094
evolution strategies algorithm search,1.8275673729848682e-09,1.8275673729848682e-09,"[-1.9344295102649128e-05, -1.0020025492730596e-05, -3.678266859665734e-05]",0.036247968673706055
evolution strategies algorithm search,8.612600122118033e-08,8.612600122118033e-08,"[0.00011884205695592096, 0.00014995981522346186, -0.00022251880940228657]",0.0366671085357666
evolution strategies algorithm search,2.9627150982067683e-06,2.9627150982067683e-06,"[0.0005684715164696172, -0.0008289752071334069, -0.0013972670965594328]",0.03701019287109375
evolution strategies algorithm search,9.330094278250346e-06,9.330094278250346e-06,"[-5.0031270552041785e-05, 0.002958588257629826, 0.0007578566302620853]",0.03858327865600586
evolution strategies algorithm search,2.5128830939604258e-06,2.5128830939604258e-06,"[-0.0004952958980991274, -0.0014523231078792317, -0.00039789779794139864]",0.03663325309753418
evolution strategies algorithm search,8.98386968504298e-06,8.98386968504298e-06,"[0.0015465381089260935, 0.0017861157912702989, 0.0018444185920926835]",0.045520782470703125
evolution strategies algorithm search,1.1205918441872705e-07,1.1205918441872705e-07,"[0.00013358904203151177, -0.00013753345542878823, 0.0002744042654654762]",0.03559160232543945
evolution strategies algorithm search,1.9228068804421822e-07,1.9228068804421822e-07,"[6.170984601337764e-05, -0.0002670443027781382, 0.0003422863177267848]",0.03559708595275879
evolution strategies algorithm search,2.2508710856432056e-07,2.2508710856432056e-07,"[-0.00013236466226483937, -5.099269554034594e-05, -0.00045273220533706806]",0.03671884536743164
evolution strategies algorithm search,8.45139241073627e-10,8.45139241073627e-10,"[8.208944958722978e-06, 1.8028099290658714e-05, -2.127769018724623e-05]",0.03912711143493652
